transaction_id,date,amount,transaction_status,branch_id
891448,2025-04-25,,FAILED,Atmakur_Branch4
394326,2025-04-25,,,Atmakur_Branch4
894695,2025-04-25,900.5,FAILED,Atmakur_Branch4
352970,2025-04-25,,,Atmakur_Branch4
187962,2025-04-25,,FAILED,Atmakur_Branch4
397118,2025-04-25,,FAILED,Atmakur_Branch4
406632,2025-04-25,,,Atmakur_Branch4
984063,2025-04-25,,,Atmakur_Branch4
725916,2025-04-26,892.52,,Atmakur_Branch4
399494,2025-04-26,,SUCCESS,Atmakur_Branch4
762294,2025-04-26,,FAILED,Atmakur_Branch4
993189,2025-04-26,,SUCCESS,Atmakur_Branch4
175363,2025-04-26,,,Atmakur_Branch4
574066,2025-04-26,640.2,SUCCESS,Atmakur_Branch4
772205,2025-04-26,,SUCCESS,Atmakur_Branch4
251274,2025-04-26,,FAILED,Atmakur_Branch4
208997,2025-04-26,,,Atmakur_Branch4
632317,2025-04-27,,SUCCESS,Atmakur_Branch4
289705,2025-04-27,273.22,FAILED,Atmakur_Branch4
299290,2025-04-27,322.7,SUCCESS,Atmakur_Branch4
853289,2025-04-27,991.69,,Atmakur_Branch4
108853,2025-04-27,,FAILED,Atmakur_Branch4
347048,2025-04-27,,FAILED,Atmakur_Branch4
214071,2025-04-28,,,Atmakur_Branch4
457271,2025-04-28,,,Atmakur_Branch4
639936,2025-04-28,329.96,FAILED,Atmakur_Branch4
936265,2025-04-28,616.21,,Atmakur_Branch4
258009,2025-04-28,112.05,FAILED,Atmakur_Branch4
661293,2025-04-29,759.87,SUCCESS,Atmakur_Branch4
985116,2025-04-29,,SUCCESS,Atmakur_Branch4
143249,2025-04-29,,FAILED,Atmakur_Branch4
956980,2025-04-29,,,Atmakur_Branch4
204936,2025-04-29,454.64,,Atmakur_Branch4
461138,2025-04-29,78.2,,Atmakur_Branch4
554507,2025-04-29,438.9,SUCCESS,Atmakur_Branch4
145363,2025-04-29,,SUCCESS,Atmakur_Branch4
509564,2025-04-30,,,Atmakur_Branch4
926723,2025-04-30,,SUCCESS,Atmakur_Branch4
441019,2025-04-30,,FAILED,Atmakur_Branch4
549743,2025-04-30,,,Atmakur_Branch4
382345,2025-04-30,,,Atmakur_Branch4
249761,2025-04-30,,SUCCESS,Atmakur_Branch4
298383,2025-04-30,327.26,,Atmakur_Branch4
906615,2025-05-01,,,Atmakur_Branch4
476392,2025-05-01,,SUCCESS,Atmakur_Branch4
587590,2025-05-01,,,Atmakur_Branch4
727169,2025-05-01,,,Atmakur_Branch4
506414,2025-05-01,252.78,,Atmakur_Branch4
662087,2025-05-01,,,Atmakur_Branch4
275831,2025-05-01,,SUCCESS,Atmakur_Branch4
987542,2025-05-01,,FAILED,Atmakur_Branch4
