transaction_id,date,amount,transaction_status,branch_id
544907,2025-04-25,,SUCCESS,Kuppam_Branch1
528064,2025-04-25,,FAILED,Kuppam_Branch1
523401,2025-04-25,136.16,FAILED,Kuppam_Branch1
871003,2025-04-25,937.44,,Kuppam_Branch1
599018,2025-04-25,,,Kuppam_Branch1
185282,2025-04-25,881.27,,Kuppam_Branch1
958664,2025-04-25,514.58,FAILED,Kuppam_Branch1
689003,2025-04-25,839.3,,Kuppam_Branch1
431801,2025-04-25,,,Kuppam_Branch1
852436,2025-04-26,989.04,,Kuppam_Branch1
812115,2025-04-26,,,Kuppam_Branch1
766021,2025-04-26,224.98,SUCCESS,Kuppam_Branch1
427909,2025-04-26,793.73,,Kuppam_Branch1
357438,2025-04-26,,,Kuppam_Branch1
174858,2025-04-26,663.02,,Kuppam_Branch1
567361,2025-04-27,,SUCCESS,Kuppam_Branch1
604365,2025-04-27,,,Kuppam_Branch1
325860,2025-04-27,,FAILED,Kuppam_Branch1
220653,2025-04-27,865.45,,Kuppam_Branch1
855150,2025-04-27,,,Kuppam_Branch1
252511,2025-04-28,,,Kuppam_Branch1
996648,2025-04-28,,FAILED,Kuppam_Branch1
358704,2025-04-28,,,Kuppam_Branch1
144306,2025-04-28,,FAILED,Kuppam_Branch1
699827,2025-04-28,,,Kuppam_Branch1
763997,2025-04-29,,,Kuppam_Branch1
246506,2025-04-29,146.38,FAILED,Kuppam_Branch1
605214,2025-04-29,,,Kuppam_Branch1
509660,2025-04-29,,,Kuppam_Branch1
764116,2025-04-29,338.75,,Kuppam_Branch1
385308,2025-04-29,791.38,,Kuppam_Branch1
301603,2025-04-29,511.66,,Kuppam_Branch1
624532,2025-04-30,247.0,,Kuppam_Branch1
996908,2025-04-30,,,Kuppam_Branch1
836494,2025-04-30,,,Kuppam_Branch1
953318,2025-04-30,994.3,SUCCESS,Kuppam_Branch1
116919,2025-04-30,,SUCCESS,Kuppam_Branch1
913811,2025-04-30,,FAILED,Kuppam_Branch1
925250,2025-04-30,,FAILED,Kuppam_Branch1
283923,2025-05-01,,SUCCESS,Kuppam_Branch1
108527,2025-05-01,,,Kuppam_Branch1
653009,2025-05-01,511.59,,Kuppam_Branch1
995366,2025-05-01,111.17,SUCCESS,Kuppam_Branch1
464454,2025-05-01,895.34,SUCCESS,Kuppam_Branch1
