transaction_id,date,amount,transaction_status,branch_id
966521,2025-04-25,878.91,FAILED,Nellore_Branch1
838310,2025-04-25,572.14,,Nellore_Branch1
706648,2025-04-25,,SUCCESS,Nellore_Branch1
548389,2025-04-25,,FAILED,Nellore_Branch1
850862,2025-04-25,,FAILED,Nellore_Branch1
583834,2025-04-25,895.76,,Nellore_Branch1
538871,2025-04-25,,,Nellore_Branch1
623094,2025-04-25,,SUCCESS,Nellore_Branch1
166281,2025-04-25,367.91,,Nellore_Branch1
780103,2025-04-26,,,Nellore_Branch1
664379,2025-04-26,,,Nellore_Branch1
796063,2025-04-26,824.58,SUCCESS,Nellore_Branch1
896857,2025-04-26,,FAILED,Nellore_Branch1
393415,2025-04-26,,,Nellore_Branch1
340110,2025-04-26,,,Nellore_Branch1
106540,2025-04-26,554.12,FAILED,Nellore_Branch1
226775,2025-04-26,733.51,,Nellore_Branch1
163113,2025-04-27,,,Nellore_Branch1
417690,2025-04-27,,FAILED,Nellore_Branch1
259265,2025-04-27,,SUCCESS,Nellore_Branch1
522294,2025-04-27,852.15,FAILED,Nellore_Branch1
835639,2025-04-27,,SUCCESS,Nellore_Branch1
435278,2025-04-27,,FAILED,Nellore_Branch1
465610,2025-04-27,,,Nellore_Branch1
935831,2025-04-27,,SUCCESS,Nellore_Branch1
136848,2025-04-27,883.47,,Nellore_Branch1
231826,2025-04-28,,,Nellore_Branch1
806531,2025-04-28,,,Nellore_Branch1
806229,2025-04-28,78.8,,Nellore_Branch1
602586,2025-04-28,645.81,,Nellore_Branch1
257386,2025-04-28,,SUCCESS,Nellore_Branch1
454767,2025-04-28,,SUCCESS,Nellore_Branch1
921652,2025-04-29,560.66,SUCCESS,Nellore_Branch1
657125,2025-04-29,,,Nellore_Branch1
253139,2025-04-29,318.25,,Nellore_Branch1
471799,2025-04-29,,,Nellore_Branch1
194926,2025-04-29,,,Nellore_Branch1
997583,2025-04-29,,,Nellore_Branch1
308683,2025-04-29,,,Nellore_Branch1
567336,2025-04-29,,,Nellore_Branch1
293076,2025-04-30,,,Nellore_Branch1
687516,2025-04-30,,FAILED,Nellore_Branch1
932840,2025-04-30,,FAILED,Nellore_Branch1
433807,2025-04-30,400.95,,Nellore_Branch1
916967,2025-04-30,,FAILED,Nellore_Branch1
613082,2025-04-30,,SUCCESS,Nellore_Branch1
431618,2025-05-01,858.63,,Nellore_Branch1
734235,2025-05-01,,FAILED,Nellore_Branch1
233580,2025-05-01,398.15,FAILED,Nellore_Branch1
848060,2025-05-01,,FAILED,Nellore_Branch1
775834,2025-05-01,,,Nellore_Branch1
518322,2025-05-01,,,Nellore_Branch1
